step,x,y,bat_azul
0,0.000,0.000,1.000
10,0.001,0.001,0.999
20,0.001,0.002,0.997
30,0.003,0.002,0.996
40,0.004,0.002,0.994
50,0.001,-0.084,0.993
60,-0.003,-0.170,0.991
70,-0.006,-0.257,0.990
80,-0.009,-0.344,0.988
90,-0.013,-0.431,0.987
100,-0.016,-0.517,0.985
110,-0.019,-0.604,0.984
120,-0.022,-0.691,0.982
130,-0.026,-0.778,0.981
140,-0.029,-0.864,0.979
150,-0.032,-0.951,0.978
160,-0.036,-1.038,0.976
170,-0.037,-1.040,0.975
180,-0.004,-1.118,0.973
190,0.029,-1.198,0.972
200,0.029,-1.198,0.972
210,0.030,-1.197,0.970
220,0.031,-1.197,0.969
230,0.032,-1.198,0.967
240,0.032,-1.199,0.966
250,0.033,-1.201,0.964
260,-0.053,-1.198,0.963
270,-0.139,-1.196,0.961
280,-0.226,-1.194,0.960
290,-0.313,-1.192,0.958
300,-0.400,-1.189,0.957
310,-0.487,-1.187,0.955
320,-0.573,-1.185,0.954
330,-0.660,-1.183,0.952
340,-0.747,-1.181,0.951
350,-0.834,-1.179,0.949
360,-0.921,-1.177,0.948
370,-1.007,-1.174,0.946
380,-1.094,-1.172,0.945
390,-1.181,-1.170,0.943
400,-1.268,-1.168,0.942
410,-1.355,-1.166,0.940
420,-1.441,-1.164,0.939
430,-1.441,-1.163,0.937
440,-1.518,-1.197,0.936
450,-1.517,-1.198,0.934
460,-1.603,-1.200,0.933
470,-1.690,-1.202,0.931
480,-1.689,-1.201,0.930
490,-1.765,-1.239,0.928
500,-1.767,-1.237,0.927
510,-1.770,-1.296,0.925
520,-1.772,-1.358,0.924
530,-1.775,-1.420,0.922
540,-1.778,-1.482,0.921
550,-1.780,-1.544,0.919
560,-1.782,-1.605,0.918
570,-1.784,-1.611,0.916
580,-1.734,-1.645,0.915
590,-1.683,-1.680,0.913
600,-1.581,-1.750,0.912
610,-1.579,-1.755,0.910
620,-1.525,-1.731,0.909
630,-1.411,-1.681,0.907
640,-1.298,-1.631,0.906
650,-1.184,-1.581,0.904
660,-1.071,-1.531,0.903
670,-0.957,-1.481,0.901
680,-0.844,-1.431,0.900
690,-0.730,-1.381,0.898
700,-0.616,-1.331,0.897
710,-0.503,-1.281,0.895
720,-0.389,-1.231,0.894
730,-0.276,-1.181,0.892
740,-0.163,-1.130,0.891
750,-0.049,-1.080,0.889
760,0.064,-1.030,0.888
770,0.178,-0.980,0.886
780,0.291,-0.929,0.885
790,0.404,-0.879,0.883
800,0.518,-0.828,0.882
810,0.631,-0.778,0.880
820,0.744,-0.727,0.879
830,0.858,-0.676,0.877
840,0.971,-0.626,0.876
850,1.084,-0.575,0.874
860,1.197,-0.524,0.873
870,1.310,-0.473,0.871
880,1.423,-0.422,0.870
890,1.536,-0.370,0.868
900,1.649,-0.319,0.867
910,1.762,-0.268,0.865
920,1.768,-0.268,0.864
930,1.770,-0.269,0.862
940,1.723,-0.230,0.861
950,1.676,-0.191,0.859
960,1.580,-0.114,0.858
970,1.483,-0.037,0.856
980,1.386,0.041,0.855
990,1.289,0.118,0.853
1000,1.192,0.195,0.852
1010,1.095,0.273,0.850
1020,0.998,0.350,0.849
1030,0.930,0.405,0.847
1040,0.862,0.459,0.846
1050,0.794,0.513,0.844
1060,0.727,0.567,0.843
1070,0.659,0.621,0.841
1080,0.591,0.676,0.840
1090,0.523,0.730,0.838
1100,0.455,0.784,0.837
1110,0.388,0.838,0.835
1120,0.320,0.893,0.834
1130,0.252,0.947,0.832
1140,0.184,1.001,0.831
1150,0.116,1.055,0.829
1160,0.048,1.109,0.828
1170,-0.019,1.164,0.826
1180,-0.087,1.218,0.825
1190,-0.155,1.272,0.823
1200,-0.223,1.326,0.822
1210,-0.291,1.381,0.820
1220,-0.358,1.435,0.819
1230,-0.426,1.489,0.817
1240,-0.494,1.543,0.816
1250,-0.562,1.598,0.814
1260,-0.630,1.652,0.813
1270,-0.698,1.706,0.811
1280,-0.765,1.760,0.810
1290,-0.764,1.763,0.808
1300,-0.820,1.742,0.807
1310,-0.878,1.720,0.805
1320,-0.878,1.719,0.804
1330,-0.940,1.721,0.802
1340,-1.001,1.723,0.801
1350,-1.063,1.725,0.799
1360,-1.125,1.727,0.798
1370,-1.187,1.729,0.796
1380,-1.249,1.731,0.795
1390,-1.311,1.733,0.793
1400,-1.373,1.735,0.792
1410,-1.435,1.736,0.790
1420,-1.497,1.738,0.789
1430,-1.559,1.739,0.787
1440,-1.621,1.740,0.786
1450,-1.683,1.742,0.784
1460,-1.745,1.743,0.783
1470,-1.748,1.746,0.781
1480,-1.752,1.744,0.780
1490,-1.725,1.691,0.778
1500,-1.726,1.690,0.777
1510,-1.678,1.651,0.775
1520,-1.680,1.651,0.774
1530,-1.681,1.650,0.772
1540,-1.598,1.662,0.771
1550,-1.512,1.675,0.769
1560,-1.426,1.688,0.768
1570,-1.340,1.701,0.766
1580,-1.254,1.714,0.765
1590,-1.254,1.713,0.763
1600,-1.182,1.759,0.762
1610,-1.181,1.762,0.760
1620,-1.126,1.735,0.759
1630,-1.127,1.734,0.757
1640,-1.067,1.732,0.756
1650,-1.005,1.730,0.754
1660,-0.943,1.728,0.753
1670,-0.881,1.726,0.751
1680,-0.819,1.724,0.750
1690,-0.757,1.722,0.748
1700,-0.695,1.721,0.747
1710,-0.633,1.719,0.745
1720,-0.571,1.717,0.744
1730,-0.509,1.715,0.742
1740,-0.510,1.713,0.741
1750,-0.510,1.712,0.739
1760,-0.508,1.712,0.738
1770,-0.507,1.712,0.736
1780,-0.506,1.712,0.735
1790,-0.505,1.713,0.733
1800,-0.504,1.713,0.732
1810,-0.585,1.740,0.730
1820,-0.644,1.759,0.729
1830,-0.645,1.763,0.727
1840,-0.691,1.724,0.726
1850,-0.691,1.723,0.724
1860,-0.690,1.722,0.723
1870,-0.751,1.729,0.721
1880,-0.813,1.736,0.720
1890,-0.874,1.743,0.718
1900,-0.936,1.750,0.717
1910,-0.997,1.757,0.715
1920,-1.059,1.764,0.714
