step,x,y,bat_azul
0,0.000,0.000,1.000
10,0.087,-0.000,0.999
20,0.174,-0.001,0.997
30,0.261,-0.001,0.996
40,0.348,-0.002,0.994
50,0.434,-0.002,0.993
60,0.521,-0.003,0.991
70,0.608,-0.003,0.990
80,0.695,-0.003,0.988
90,0.782,-0.004,0.987
100,0.868,-0.004,0.985
110,0.869,-0.005,0.984
120,0.946,0.031,0.982
130,1.024,0.068,0.981
140,1.023,0.069,0.979
150,1.108,0.073,0.978
160,1.195,0.078,0.976
170,1.282,0.083,0.975
180,1.368,0.087,0.973
190,1.369,0.086,0.972
200,1.444,0.126,0.970
210,1.520,0.167,0.969
220,1.519,0.167,0.967
230,1.603,0.176,0.966
240,1.689,0.186,0.964
250,1.775,0.196,0.963
260,1.780,0.194,0.961
270,1.782,0.193,0.960
280,1.748,0.243,0.958
290,1.712,0.293,0.957
300,1.714,0.293,0.955
310,1.713,0.295,0.954
320,1.630,0.305,0.952
330,1.543,0.315,0.951
340,1.457,0.325,0.949
350,1.371,0.335,0.948
360,1.285,0.345,0.946
370,1.198,0.356,0.945
380,1.112,0.366,0.943
390,1.026,0.376,0.942
400,0.940,0.386,0.940
410,0.853,0.396,0.939
420,0.767,0.406,0.937
430,0.681,0.416,0.936
440,0.595,0.426,0.934
450,0.508,0.437,0.933
460,0.507,0.438,0.931
470,0.505,0.438,0.930
480,0.504,0.439,0.928
490,0.466,0.362,0.927
500,0.428,0.285,0.925
510,0.390,0.207,0.924
520,0.351,0.129,0.922
530,0.313,0.051,0.921
540,0.275,-0.027,0.919
550,0.236,-0.105,0.918
560,0.198,-0.183,0.916
570,0.160,-0.261,0.915
580,0.121,-0.339,0.913
590,0.083,-0.417,0.912
600,0.045,-0.495,0.910
610,0.006,-0.573,0.909
620,-0.032,-0.650,0.907
630,-0.070,-0.728,0.906
640,-0.109,-0.806,0.904
650,-0.147,-0.884,0.903
660,-0.146,-0.883,0.903
670,-0.197,-0.991,0.901
680,-0.249,-1.104,0.900
690,-0.301,-1.217,0.898
700,-0.352,-1.330,0.897
710,-0.404,-1.443,0.895
720,-0.456,-1.555,0.894
730,-0.508,-1.668,0.892
740,-0.560,-1.781,0.891
750,-0.559,-1.786,0.889
760,-0.562,-1.788,0.888
770,-0.600,-1.741,0.886
780,-0.639,-1.693,0.885
790,-0.717,-1.596,0.883
800,-0.795,-1.500,0.882
810,-0.873,-1.403,0.880
820,-0.951,-1.307,0.879
830,-1.029,-1.210,0.877
840,-1.107,-1.114,0.876
850,-1.185,-1.017,0.874
860,-1.187,-1.017,0.873
870,-1.211,-0.934,0.871
880,-1.235,-0.851,0.870
890,-1.259,-0.767,0.868
900,-1.283,-0.684,0.867
910,-1.308,-0.600,0.865
920,-1.332,-0.517,0.864
930,-1.356,-0.434,0.862
940,-1.380,-0.350,0.861
950,-1.405,-0.267,0.859
960,-1.429,-0.184,0.858
970,-1.453,-0.100,0.856
980,-1.477,-0.017,0.855
990,-1.502,0.067,0.853
1000,-1.526,0.150,0.852
1010,-1.550,0.233,0.850
1020,-1.575,0.317,0.849
1030,-1.599,0.400,0.847
1040,-1.623,0.483,0.846
1050,-1.647,0.567,0.844
1060,-1.672,0.650,0.843
1070,-1.696,0.733,0.841
1080,-1.720,0.817,0.840
1090,-1.745,0.900,0.838
1100,-1.762,0.960,0.837
1110,-1.765,0.960,0.835
1120,-1.725,1.006,0.834
1130,-1.684,1.052,0.832
1140,-1.684,1.050,0.831
1150,-1.683,1.049,0.829
1160,-1.681,1.048,0.828
1170,-1.722,1.123,0.826
1180,-1.764,1.199,0.825
1190,-1.767,1.200,0.823
